subject,condition,accuracy,answer_rt_median,answer_rt_mean,confidence_mean,confidence_rt_median,auc,n_valid,n_confidence
202512261030,zero_gravity,0.75,665.9681,749.3408166666668,5.5,416.4841,0.7386831275720165,36,36
202512261422,gravity,0.8611111111111112,991.04435,1100.4438388888889,4.444444444444445,499.92825,0.8032258064516129,36,36
202512261422,zero_gravity,0.7428571428571429,1183.083,1294.1802771428572,4.114285714285714,633.105,0.7905982905982907,35,35
202512261436,gravity,0.75,1365.5349999999999,1442.6893833333334,6.571428571428571,649.9287,0.4786324786324787,36,35
202512261436,zero_gravity,0.6,1483.118,1569.5988342857142,6.314285714285714,466.6187,0.5459183673469388,35,35
202512261555,gravity,0.5833333333333334,983.10585,1089.3235527777774,7.0,1124.812,,36,36
202512261555,zero_gravity,0.5428571428571428,1015.366,1116.1748285714286,7.0,1032.71,,35,35
202512261625,gravity,0.5142857142857142,1266.88,1335.8428,4.628571428571429,899.1455,0.5915032679738562,35,35
202512261625,zero_gravity,0.5555555555555556,1507.432,1601.5917722222223,3.5277777777777777,1149.46,0.5640625,36,36
202512291041,gravity,0.5,1399.6205,1388.6761333333332,6.333333333333333,1074.5175,0.6373456790123456,36,36
202512291041,zero_gravity,0.6388888888888888,1307.7545,1414.9572666666668,6.472222222222222,907.5059,0.6036789297658862,36,36
202512291431,gravity,0.7428571428571429,1050.673,1275.1704542857144,5.514285714285714,582.2559,0.8183760683760684,35,35
202512291431,zero_gravity,0.75,1216.2930000000001,1401.0535750000001,5.194444444444445,749.5602,0.5987654320987654,36,36
202512291432,gravity,0.8823529411764706,1090.5825,1294.4386088235294,5.4411764705882355,1172.7359999999999,0.7666666666666667,34,34
202512291432,zero_gravity,0.8857142857142857,1133.129,1431.9968742857143,5.485714285714286,1299.014,0.6008064516129032,35,35
202512291441,gravity,0.6388888888888888,858.16475,929.0776055555556,6.257142857142857,483.1733,0.4650349650349651,36,35
202512291441,zero_gravity,0.5555555555555556,833.7163499999999,946.5400027777778,5.75,449.44460000000004,0.6015625,36,36
202512291612,gravity,0.6666666666666666,1791.0635,1780.9278333333334,4.485714285714286,1265.47,0.4927536231884058,36,35
202512291612,zero_gravity,0.4857142857142857,1750.429,1819.8076571428574,4.571428571428571,1101.268,0.5245098039215685,35,35
202512300954,gravity,0.3939393939393939,1383.159,1590.1833090909095,6.515151515151516,299.0886,0.5673076923076923,33,33
202512300954,zero_gravity,0.5294117647058824,1616.152,1571.0531352941177,5.205882352941177,316.40285,0.5086805555555556,34,34
202512301037,gravity,0.46875,941.4765500000001,1142.271134375,7.0,1140.801,,32,32
202512301037,zero_gravity,0.6285714285714286,1316.291,1361.401142857143,7.0,649.4983,,35,35
